#separator:tab
#html:true
#notetype:MTG Text Box
#deck:Main::MTG::Avatar: The Last Airbender
#columns:Front	UUID
Professor Zei, Anthropologist	27baccc0-7e25-4f39-be0d-31cd98ca0dc5
Kyoshi Island Plaza	9c25ea98-9823-4487-bf6b-ee29ce5a4ed8
Fire Nation Raider	ede1bbdb-c726-46e3-aaf1-b8cf2be2c341
Combustion Technique	fdcca576-2ef2-44cc-9944-a92bd146444a
Combustion Man	86f7399d-6876-4e85-ba34-ff1f97dc144a
Wolfbat	2ae83b4e-e5a4-4c98-8d16-eef3c71b8ff2
Fatal Fissure	3343933d-4425-4ede-8d92-876bd0c6df60
Sandbenders' Storm	b3bf4a25-4329-4318-870a-2b06aa620dc4
Earth Kingdom Protectors	d263472e-1d75-4cb9-8f7b-986fa22bc841
Destined Confrontation	d4605cf7-03bc-4a7f-b50a-49b83b09b54d
Boomerang Basics	17ab958a-abc6-472e-ad6a-97c731d89c74
The Boulder, Ready to Rumble	ec27a466-5457-44c6-a842-1de7d3788d66
Iroh's Demonstration	18d15fed-1f8f-4407-a221-a47ce75001a8
Fire Navy Trebuchet	e58372cc-9a89-47a4-a0db-df5435e26cd3
Cruel Administrator	9d70707b-2e25-40b1-80a8-9a5492bca7e2
Bumi, King of Three Trials	a268697b-22b0-4e1b-a5b6-d9be95025e57
Earth Kingdom Jailer	9207362c-3605-4794-803f-ad1d0175fcca
Enter the Avatar State	a8f3d2cb-d073-4df8-8769-49612628a377
Bitter Work	3e8de6a9-9859-4ed2-8ece-ef80a7209be9
Earth Kingdom General	8688fce5-74b1-41e1-a59a-05a3878a75cb
Sun-Blessed Peak	ae04c862-095f-41d2-8aef-21036d5a0cdc
Serpent's Pass	ad87bff5-9b8c-44e4-a6d3-8cc71be9640a
Omashu City	c21e413b-96ed-4ded-b567-f1647074ce5f
Misty Palms Oasis	7cc29ddb-8f44-4493-985d-2fac35f9f34d
North Pole Gates	bcf7b9da-d35d-4338-b4d9-83e47dc058ee
Meditation Pools	cc078fc6-4470-473f-9e24-d2c470e09141
Kyoshi Village	8d5f3008-2af8-4e81-8847-1c91f524e747
Foggy Bottom Swamp	226af626-873d-4bd2-b889-000f8316786f
Boiling Rock Prison	1c2e2220-54d1-4180-93a0-964e3b0ba8b8
Airship Engine Room	0b98ba34-f251-4bd0-9d75-1d4445be5cfd
Tolls of War	d822b9ad-a787-4355-88c2-07ae2bd3a78e
Platypus-Bear	7ebf742a-3995-4b22-9dc7-b05f57889683
Shared Roots	e7847ba5-e85e-417f-96c0-aef2e6f83994
Twin Blades	dc399ae0-36b5-4c92-9fe2-138caf8d7a86
Tiger-Dillo	067bd117-04e6-410e-89c4-6d431d627751
Sold Out	1affba6d-2cca-4cdf-8690-1e23ffbe8462
Callous Inspector	f22610e9-6b14-4914-bb67-bd6723bec9aa
Ember Island Production	0f79a7fc-36b1-4397-8e67-6638379d3a38
Gather the White Lotus	96e2b3d0-f060-4f3c-9d12-a0444b202008
Foggy Swamp Spirit Keeper	cd624be9-e960-4485-a8a9-2d5f2dd51777
Mai, Jaded Edge	732e6bc9-0798-4c00-aea0-5ef4298b45f5
The Spirit Oasis	3a1b1329-531c-47ed-9802-c505501f8fd9
Zhao, Ruthless Admiral	3fd48a57-b0bb-4177-a0f3-bd317a179cbe
June, Bounty Hunter	148bbaab-bc7b-46ab-8e18-ade69d71d847
Jeong Jeong, the Deserter	a9f63d3b-bee5-48bc-8b04-d8b24b0bda6e
Price of Freedom	9fbe94e9-a71d-4a31-9210-c599abe08e3f
Treetop Freedom Fighters	a9394200-7ffc-440f-8b5f-c08b7930133c
Jet, Freedom Fighter	9202c044-15e4-4218-a94d-16287ba19d69
Jet's Brainwashing	b17e8bdb-4b91-4a9d-bfe1-8a55f0bd040b
Appa, Loyal Sky Bison	a9b2a843-c6fe-4d19-801e-1538e4381ab0
Origin of Metalbending	25749f9a-260d-4bdc-bd28-429c12faa4a5
Octopus Form	ce96a826-53a0-4029-bf34-46779d133b13
Invasion Submersible	af5299f5-1633-4c07-ade5-fd47e29ea4aa
Earth Rumble Wrestlers	74fca0b8-12e1-405f-b999-160d65fe0ade
Deadly Precision	4661daf6-d960-4278-8946-70948efaf99d
Bumi Bash	e8895479-26cb-4ee8-98ca-6d46c43f0dbd
Fire Nation Warship	41ecc1de-353e-4131-b735-d2ce18c9c2d5
Fire Nation Cadets	1a3a862c-9c9a-41cd-94d1-2d0cff22a6cd
True Ancestry	8c55b333-dc8b-4332-895b-eec5eb45543f
White Lotus Hideout	24d1e22c-0d99-4ed5-94f0-fd055fd8e2be
Tundra Tank	13c66fce-8f8e-4a98-8413-9f05aebf6e13
Lost Days	db8e88e3-0931-403f-90e7-3c22c0b61dac
Forecasting Fortune Teller	023e7ad4-6af0-4f29-a716-27a313974227
Glider Staff	7517f2eb-a24d-49f6-82bf-08de55d3789a
Momo, Playful Pet	9350bf4a-fa12-4867-b31f-1f1394d99571
Fancy Footwork	9c59f8c5-4063-4e5a-b684-fde175c4a981
Compassionate Healer	88d5f8fd-d4de-4e64-9b74-e53719ffbcdc
Northern Air Temple	06b7675e-e665-49cb-a8d9-7092a654d464
Teo, Spirited Glider	66906ed4-baac-4be0-9359-34f453d1a04a
Ty Lee, Artful Acrobat	dcd9df24-272b-4aa1-b05f-6ee6b3d3dfe7
Unlucky Cabbage Merchant	0a838009-b115-4497-b35d-682e41ead7db
Sparring Dummy	520f5a03-ff5a-43ed-8f15-cf24596d60cd
War Balloon	6829b20d-c2fa-41a6-89ca-f21c522d8866
Trusty Boomerang	df99a166-6d58-4d92-9037-2fdfbaf65629
Energybending	6c085441-e023-4032-89a0-d24ce5060ac3
Zuko's Exile	9090b055-3406-4fed-a8c6-3f6353a9600e
Sun Warriors	e477d750-42d2-48c8-bc1f-8148d15d5f53
Uncle Iroh	5c88672c-0eba-4e93-a0ec-30bbb1bb7661
White Lotus Reinforcements	4c7e3e2f-d7ac-4d40-ab84-cb7efe06a316
Guru Pathik	224a2241-0dce-4008-8d9c-86db40ec5f8b
Hama, the Bloodbender	6fa1197d-7b19-4d86-81e2-5c87de87757b
Dai Li Agents	9ddb8715-341b-400a-b6eb-f3f90518157c
Dragonfly Swarm	16be5cc4-b15a-4c5e-8a6e-05c87b519127
Seismic Sense	a7b93c2a-c478-4734-8aca-03f3e9c11b20
Invasion Tactics	27c6330d-49f6-4707-b4d4-d1411fa422eb
Cycle of Renewal	233f4a05-057b-48f4-8f56-8d4a060a40e4
Allies at Last	11a77897-2aba-4a9b-bbe6-1768ca9f12cb
Solstice Revelations	f22ac19f-66fb-4d54-9f09-495a20a29577
Cunning Maneuver	0ff7c993-ba29-43b0-9639-7c4bc0292fa2
Crescent Island Temple	04c85150-269e-4158-a1b9-bd11bc6b7d79
Azula, On the Hunt	1335a145-248a-4f1e-8760-9a5d531e14e3
North Pole Patrol	c2c0c138-5b61-4949-8431-4a6d458ead6a
Honest Work	57e0ccb0-22f0-4e4d-9a47-c4fec2c7f251
Gran-Gran	fa434b41-e5f7-4989-865a-95db67b05cb1
Yip Yip!	43f4b10e-165b-4100-82f3-728e1b0c78ed
Water Tribe Rallier	4e744b6c-1c2f-451a-818a-5ee7785b5213
Watery Grasp	26bcff57-428e-4f30-a153-a778fbfc437d
Zuko, Exiled Prince	6a73b372-9c0e-4a85-89d2-440163330687
Yuyan Archers	99244462-a996-4a5b-91fb-947045647d6d
Waterbending Lesson	4f81e3b5-a0a9-4764-8c2d-b499ce1740b4
Turtle-Duck	aefcd734-3916-4c77-9d98-3ea2c2795658
Vindictive Warden	0f34de05-39a9-425f-a3b4-3a9d46c917ac
Toph, the Blind Bandit	ff68fa7b-8065-407b-a8b4-bfbb14f1c99c
Suki, Kyoshi Warrior	3e311480-04f8-4b8f-938e-1cc6d06b9902
Sokka, Lateral Strategist	1326c5db-4615-495f-8e30-376243d91352
Serpent of the Pass	87595843-15bc-48bb-8a81-3e6ad924ed44
Saber-Tooth Moose-Lion	b15f302d-c451-4e79-a5af-75ee3ba4cadf
Rowdy Snowballers	17d71522-b133-4003-b787-0c742a2fd70e
Rough Rhino Cavalry	a8bc29cf-f6f8-4bb8-b722-f016b58b6d2d
Rebellious Captives	e64a4a8b-323c-4c8b-92af-1a3295799e65
Rocky Rebuke	52fd910f-6d42-41f5-a4be-f375aa254ea2
Razor Rings	b05cfee5-ee59-4df6-a5f6-d9ef0fa7f98a
Raucous Audience	ccd03ec3-0fae-48b2-9f04-9c57d2f94267
Rabaroo Troop	62a983b4-ac73-4949-9317-05a75a8ce164
Pretending Poxbearers	d1af91a5-8681-4a05-910d-96f7a819bfaa
Pillar Launch	f177e9cc-0c41-417d-9215-5ff23a1a0657
Path to Redemption	f936d64a-0db4-49c1-8a57-6d99e012a555
Ozai's Cruelty	22cad680-d46a-4589-a633-b6ee9a78d61e
Ostrich-Horse	5ca3fd45-9301-44ef-afc0-4d7999d66d36
Otter-Penguin	480b6279-bb34-4b3f-a639-868b52af92b9
Mongoose Lizard	7d40b9cb-82ef-44c5-8d3c-c8bb4ce9891c
Merchant of Many Hats	752ffa24-93b6-4b33-bf10-7222357ac472
Master Piandao	3e4a042c-f2a6-45e7-9444-acd1ca838b87
Master Pakku	91e30df5-63f7-4281-8d64-8d522d663652
Long Feng, Grand Secretariat	a3eb92fe-bc59-4472-9028-f368bd015609
Lightning Strike	5787b0e0-9469-4a6d-8b81-c992628e28c0
Katara, Bending Prodigy	e8372167-383f-4302-a8ea-b6bf495c870c
Jeong Jeong's Deserters	060966f9-5e56-4512-9ef3-2b216daf093c
It'll Quench Ya!	47c25e41-f43c-4447-81b5-b9631448bd29
Iguana Parrot	7faa3e3d-c08a-4908-85ef-1370d3f90815
How to Start a Riot	23b3bf1e-ea85-47f5-8473-4d16615f68d7
Hog-Monkey	4f442970-5355-4abf-8684-17daaa8e469b
Hei Bai, Spirit of Balance	060d24e0-1567-41f1-ae8c-2d3b1834df3c
Heartless Act	b57c57a8-d72b-4c6c-a2db-a7ef61190f42
Haru, Hidden Talent	9657a0c0-2c26-4331-8e62-f032265a01af
Glider Kids	0613afb5-4cee-4132-8adf-404767ed8d07
Giant Koi	3938ec1f-979c-48e5-bb13-bebace006a8f
Geyser Leaper	4d25428d-e5a5-43c4-8544-43120ed1c4d5
Flopsie, Bumi's Buddy	082f4abc-c09f-42cf-977f-060875dfd411
Flexible Waterbender	1447ebce-7e48-4b21-a39c-740920538bdd
First-Time Flyer	ea22d29d-3a62-4ae2-91d5-21a678be9b48
Fire Sages	71a9fa44-306f-417a-a9d9-991aff95025c
Fire Nation Engineer	5daba108-277d-46c8-ac35-7610f4786813
Epic Downfall	3b4a6804-04f5-4467-bb1c-9466a47bc55f
Corrupt Court Official	4692610e-d64c-438e-b5ad-0cf67fd57f1f
Earth Village Ruffians	56d4e0b7-232f-4953-84a3-e6f17781aa45
Earth Rumble	62730505-56f1-4043-a8b9-4fb7bc508b47
Earth Kingdom Soldier	2d543d35-945a-4ffa-beb7-7c5d4f894f79
Deserter's Disciple	14f2ed5a-042b-4cce-82ad-cfb4bd511d98
Dai Li Indoctrination	eca652b8-44f1-4bd9-b4bf-036eeead13aa
Cat-Owl	d7df3391-dbe5-4eb4-85c1-037c5f3ea971
Cat-Gator	ec83a825-79e6-42a4-919c-3bc498ff4433
Buzzard-Wasp Colony	42d83229-0555-4361-8964-4b525c825843
Bender's Waterskin	6d4a1712-d19e-4475-9614-a0b1af4da610
Beetle-Headed Merchants	c2eed79f-38c1-4aac-9525-d54cb114f17f
Barrels of Blasting Jelly	4fd83083-3779-41f0-90a0-a00e3270e4e6
Badgermole	aabbd420-b7fc-496f-9168-bad823d51d9e
Azula Always Lies	416b9207-a2af-44d1-9b87-4943f6e46d42
Airbending Lesson	e2bcd0a6-e94d-4a21-a334-a57459c1b8cc
Abandon Attachments	74ca45a4-97ab-4255-9129-884e8b42b984
Aang, the Last Airbender	245e008c-e073-443f-9592-6f628c0026ec
Earthbending Lesson	eccd63b3-3a3a-4661-9d6e-fb8152429bdb
Fire Nation Attacks	9cc10845-8989-46ca-a57a-fd728fca0729
Sokka's Haiku	004be4bc-ac3c-4026-8d36-f4687ab18c70
Southern Air Temple	5c172f9b-2184-4736-9f90-74ce08596292
Avatar Enthusiasts	7292e5f2-d5a1-4e39-8f75-eba471819f04
Aang's Journey	5e51f727-5a9b-4bc7-83a9-dbcf1c933e15
